,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
613,flat,m3m woodshire,sector 107,0.9,6589.0,2.0,2.0,3+,14.0,New Property,1236.2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,"28.5052° N, 76.9729° E",28.5052,76.9729
614,flat,dlf regal gardens,sector 90,1.25,7340.0,3.0,3.0,3,28.0,Moderately Old,1541.18,0.0,1.0,0.0,0.0,0.0,0.0,38.0,"28.4085° N, 76.9369° E",28.4085,76.9369
615,house,unitech aspen greens,sector 50,7.0,32407.0,4.0,4.0,2,2.0,Old Property,2160.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,"28.4178° N, 77.0628° E",28.4178,77.0628
616,house,unitech escape,sector 50,12.0,37037.0,5.0,6.0,3+,3.0,Moderately Old,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,"28.4178° N, 77.0628° E",28.4178,77.0628
617,flat,ansal heights 86,sector 86,1.25,7396.0,3.0,2.0,1,11.0,New Property,1529.41,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.3986° N, 76.9384° E",28.3986,76.9384
618,flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3.0,3.0,3,2.0,Relatively New,3048.77,1.0,1.0,0.0,0.0,0.0,1.0,136.0,"28.4030° N, 77.0690° E",28.403,77.069
619,flat,ansal heights 86,sector 86,1.05,5541.0,3.0,3.0,3,9.0,Under Construction,1714.93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"28.3986° N, 76.9384° E",28.3986,76.9384
620,flat,ramshanti cooperative society,sector 52,1.76,7243.0,4.0,4.0,3+,12.0,New Property,2199.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4379° N, 77.0785° E",28.4379,77.0785
621,flat,bestech park view ananda,sector 81,1.1,6687.0,3.0,2.0,3+,5.0,Relatively New,2637.58,0.0,0.0,0.0,0.0,0.0,0.0,150.0,"28.3867° N, 76.9485° E",28.3867,76.9485
622,flat,sare crescent parc,sector 92,0.8,6033.0,3.0,2.0,2,3.0,Relatively New,1473.33,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"28.4079° N, 76.9153° E",28.4079,76.9153
623,flat,vatika emilia floors,sector 83,0.6,5714.0,2.0,2.0,2,1.0,Relatively New,990.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0,"28.3986° N, 76.9647° E",28.3986,76.9647
624,flat,orris aster court,sector 85,0.93,5671.0,3.0,3.0,3,8.0,Relatively New,1587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4042° N, 76.9513° E",28.4042,76.9513
625,house,eldeco mansionz,sector 48,6.4,23704.0,4.0,4.0,3,3.0,Moderately Old,2700.0,0.0,1.0,1.0,0.0,0.0,1.0,151.0,"28.4177° N, 77.0359° E",28.4177,77.0359
626,flat,emaar gurgaon greens,sector 102,1.45,8788.0,3.0,3.0,2,7.0,Relatively New,1493.21,0.0,1.0,0.0,0.0,0.0,1.0,169.0,"28.4750° N, 76.9715° E",28.475,76.9715
627,flat,ss the leaf,sector 85,1.18,10727.0,2.0,2.0,3,9.0,Relatively New,1700.0,1.0,0.0,0.0,0.0,0.0,1.0,150.0,"28.4042° N, 76.9513° E",28.4042,76.9513
628,house,rwa sector 46,sector 46,3.5,21605.0,4.0,4.0,2,2.0,Relatively New,1620.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,"28.4374° N, 77.0586° E",28.4374,77.0586
629,house,vatika india next,sector 83,1.7,7870.0,3.0,3.0,3+,4.0,New Property,2160.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"28.3986° N, 76.9647° E",28.3986,76.9647
630,flat,sidhartha ncr one phase,sector 95,0.55,4867.0,2.0,2.0,2,14.0,New Property,1255.56,1.0,0.0,0.0,0.0,0.0,0.0,90.0,"28.4172° N, 76.9081° E",28.4172,76.9081
631,flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10492.0,2.0,2.0,2,10.0,Relatively New,828.05,0.0,0.0,0.0,0.0,0.0,0.0,132.0,"28.4750° N, 76.9715° E",28.475,76.9715
632,flat,tulip ivory,sector 70,5.0,10417.0,6.0,7.0,3+,0.0,Relatively New,5333.33,1.0,1.0,0.0,0.0,0.0,0.0,119.0,"28.3968° N, 77.0233° E",28.3968,77.0233
633,house,independent,sector 5,0.55,5000.0,2.0,1.0,0,1.0,Relatively New,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4794° N, 77.0176° E",28.4794,77.0176
634,flat,eldeco accolade,sector 33,1.2,8043.0,2.0,2.0,2,0.0,Under Construction,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,"28.4420° N, 77.0207° E",28.442,77.0207
635,flat,m3m skywalk,sector 74,2.2,10902.0,3.0,3.0,3,12.0,New Property,1826.24,1.0,0.0,0.0,0.0,0.0,1.0,15.0,"28.4158° N, 77.0118° E",28.4158,77.0118
636,flat,umang winter hills,sector 77,1.35,7781.0,3.0,3.0,3+,7.0,New Property,2902.36,0.0,0.0,1.0,0.0,0.0,1.0,96.0,"28.3801° N, 76.9845° E",28.3801,76.9845
637,flat,godrej nature plus,sector 33,1.2,13363.0,2.0,2.0,0,11.0,Under Construction,84.93,0.0,0.0,0.0,0.0,0.0,0.0,56.0,"28.4420° N, 77.0207° E",28.442,77.0207
638,flat,signature global park 4,sector 36,0.72,6660.0,3.0,2.0,3,3.0,Under Construction,978.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
639,house,independent,sector 12,0.7,6034.0,3.0,3.0,0,1.0,Relatively New,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,"28.4723° N, 77.0320° E",28.4723,77.032
640,flat,tulip violet,sector 69,1.43,8888.0,3.0,3.0,2,1.0,Relatively New,1455.2,0.0,0.0,0.0,1.0,0.0,0.0,86.0,"28.3966° N, 77.0341° E",28.3966,77.0341
641,flat,m3m golfestate,sector 65,5.2,17456.0,3.0,3.0,3,18.0,Relatively New,2695.93,1.0,1.0,0.0,0.0,0.0,1.0,76.0,"28.4030° N, 77.0690° E",28.403,77.069
642,flat,godrej oasis,sector 88a,1.3,7259.0,3.0,3.0,3+,4.0,Relatively New,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,"28.4347° N, 76.9557° E",28.4347,76.9557
643,flat,tulip lemon,sector 69,0.62,12863.0,2.0,2.0,1,4.0,Relatively New,535.56,0.0,0.0,0.0,0.0,0.0,1.0,108.0,"28.3966° N, 77.0341° E",28.3966,77.0341
644,flat,ramsons kshitij,sector 95,0.33,3910.0,2.0,2.0,1,14.0,New Property,694.12,0.0,0.0,0.0,0.0,1.0,1.0,79.0,"28.4172° N, 76.9081° E",28.4172,76.9081
645,flat,mittal surya vihar,sector 21,0.8,7080.0,2.0,2.0,2,6.0,Old Property,1255.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.5134° N, 77.0723° E",28.5134,77.0723
646,flat,dlf royalton tower,sector 43,6.5,22109.0,4.0,5.0,2,8.0,Relatively New,2660.63,0.0,1.0,0.0,0.0,0.0,0.0,15.0,"28.4629° N, 77.0772° E",28.4629,77.0772
647,house,independent,sector 26,20.0,44444.0,5.0,7.0,3+,3.0,Relatively New,4500.0,0.0,1.0,0.0,1.0,0.0,2.0,97.0,"28.4757° N, 77.1032° E",28.4757,77.1032
648,flat,imperia the esfera,sector 37,0.86,5450.0,2.0,3.0,3,9.0,Relatively New,2883.61,1.0,0.0,0.0,0.0,1.0,0.0,49.0,"28.4375° N, 76.9999° E",28.4375,76.9999
649,house,independent,sector 2,6.0,20000.0,4.0,4.0,1,2.0,Relatively New,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.5095° N, 77.0320° E",28.5095,77.032
650,flat,m3m golfestate,sector 65,5.4,18127.0,3.0,4.0,3,19.0,Moderately Old,2695.93,1.0,1.0,0.0,0.0,0.0,1.0,174.0,"28.4030° N, 77.0690° E",28.403,77.069
651,flat,rof ananda,sector 95,0.26,6032.0,1.0,1.0,1,8.0,New Property,812.76,0.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.4172° N, 76.9081° E",28.4172,76.9081
652,flat,sapphire eighty three,sector 83,0.65,9286.0,1.0,1.0,0,6.0,Relatively New,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3986° N, 76.9647° E",28.3986,76.9647
653,flat,emaar the palm drive,sector 66,3.9,18634.0,3.0,4.0,3,2.0,Relatively New,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3925° N, 77.0541° E",28.3925,77.0541
654,house,independent,sector 7,3.1,13778.0,3.0,3.0,2,2.0,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,"28.4644° N, 77.0143° E",28.4644,77.0143
655,house,sobha city,sector 108,10.5,14323.0,5.0,4.0,3+,1.0,Relatively New,7331.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,"28.5134° N, 76.9830° E",28.5134,76.983
656,flat,godrej aria,sector 79,1.0,6653.0,2.0,2.0,2,4.0,Relatively New,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.3624° N, 76.9787° E",28.3624,76.9787
657,flat,vatika independent floors,sector 82,1.16,6988.0,3.0,3.0,3+,1.0,Relatively New,1844.44,0.0,1.0,1.0,1.0,0.0,1.0,151.0,"28.3935° N, 76.9600° E",28.3935,76.96
658,flat,tata primanti,sector 72,5.0,11111.0,4.0,4.0,3+,2.0,Moderately Old,4500.0,1.0,1.0,0.0,1.0,1.0,1.0,174.0,"28.4225° N, 77.0211° E",28.4225,77.0211
659,house,independent,sector 38,4.0,21786.0,6.0,6.0,3+,4.0,Old Property,1836.0,1.0,1.0,0.0,1.0,1.0,1.0,137.0,"28.4347° N, 77.0430° E",28.4347,77.043
660,flat,m3m sierra 68,sector 68,1.2,9002.0,2.0,2.0,3,1.0,Relatively New,1964.56,0.0,0.0,0.0,0.0,0.0,2.0,76.0,"28.3853° N, 77.0484° E",28.3853,77.0484
661,flat,dlf the skycourt,sector 86,1.58,8191.0,3.0,3.0,1,16.0,Relatively New,1750.0,0.0,0.0,0.0,1.0,0.0,1.0,152.0,"28.3986° N, 76.9384° E",28.3986,76.9384
662,flat,greenopolis,sector 89,0.8,4819.0,2.0,3.0,3,8.0,Under Construction,1502.26,1.0,0.0,0.0,0.0,1.0,0.0,60.0,"28.4253° N, 76.9439° E",28.4253,76.9439
663,flat,tulip violet,sector 69,1.4,8917.0,3.0,3.0,1,12.0,Relatively New,1419.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,"28.3966° N, 77.0341° E",28.3966,77.0341
664,house,independent,sector 2,1.15,19360.0,3.0,3.0,2,2.0,Old Property,594.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,"28.5095° N, 77.0320° E",28.5095,77.032
665,flat,guru gram haryana cghs,sector 56,1.39,7228.0,3.0,3.0,3,4.0,Moderately Old,1737.56,1.0,0.0,0.0,0.0,0.0,1.0,134.0,"28.4245° N, 77.0991° E",28.4245,77.0991
666,flat,pioneer araya,sector 62,9.2,19944.0,4.0,6.0,3,5.0,Relatively New,7733.55,0.0,1.0,0.0,1.0,0.0,1.0,156.0,"28.4139° N, 77.0886° E",28.4139,77.0886
667,flat,godrej frontier,sector 80,1.4,6189.0,3.0,4.0,2,10.0,Moderately Old,1854.0,0.0,0.0,1.0,1.0,0.0,0.0,111.0,"28.3659° N, 76.9557° E",28.3659,76.9557
668,flat,emaar mgf palm hills,sector 77,1.5,12744.0,3.0,3.0,3,4.0,Relatively New,2619.99,0.0,0.0,0.0,0.0,0.0,1.0,97.0,"28.3801° N, 76.9845° E",28.3801,76.9845
669,flat,signature global city 81,sector 81,0.8,14652.0,2.0,2.0,2,4.0,Under Construction,606.67,1.0,0.0,0.0,0.0,0.0,0.0,36.0,"28.3867° N, 76.9485° E",28.3867,76.9485
670,flat,raheja teachers apartments,sector 31,1.2,7273.0,3.0,2.0,2,1.0,Moderately Old,1450.0,0.0,0.0,0.0,0.0,1.0,2.0,105.0,"28.4528° N, 77.0498° E",28.4528,77.0498
671,house,independent,sector 23,5.5,21825.0,8.0,8.0,2,3.0,Moderately Old,2520.0,1.0,1.0,0.0,1.0,0.0,1.0,76.0,"28.5121° N, 77.0478° E",28.5121,77.0478
672,house,independent,sector 4,0.55,4074.0,3.0,3.0,2,2.0,Relatively New,1350.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,"28.4738° N, 77.0107° E",28.4738,77.0107
673,house,palam vihar extension west zone rwa,sector 2,0.65,5778.0,2.0,2.0,1,1.0,Moderately Old,1125.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,"28.5095° N, 77.0320° E",28.5095,77.032
674,flat,project krishna colony,sector 7,0.36,5143.0,2.0,2.0,1,0.0,Relatively New,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4644° N, 77.0143° E",28.4644,77.0143
675,flat,emaar mgf palm terraces select,sector 66,3.4,14108.0,4.0,4.0,3+,2.0,Relatively New,2210.0,0.0,1.0,0.0,0.0,0.0,1.0,157.0,"28.3925° N, 77.0541° E",28.3925,77.0541
676,flat,tulip violet,sector 69,1.92,15360.0,4.0,4.0,2,0.0,Relatively New,1388.89,0.0,0.0,0.0,0.0,0.0,0.0,174.0,"28.3966° N, 77.0341° E",28.3966,77.0341
677,flat,today callidora,sector 73,1.0,7692.0,2.0,2.0,2,13.0,New Property,1444.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4072° N, 77.0118° E",28.4072,77.0118
678,flat,m3m sierra 68,sector 68,1.05,8537.0,2.0,2.0,2,11.0,New Property,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,"28.3853° N, 77.0484° E",28.3853,77.0484
679,house,sushant lok 1 builder floors,sector 43,1.65,3395.0,4.0,4.0,3+,4.0,Moderately Old,540.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0,"28.4629° N, 77.0772° E",28.4629,77.0772
680,flat,pareena coban residences,sector 99,1.4,7011.0,3.0,5.0,3+,6.0,New Property,1807.24,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"28.4640° N, 76.9614° E",28.464,76.9614
681,flat,housing board colony,sector 51,0.3,7317.0,1.0,1.0,2,0.0,Old Property,917.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4320° N, 77.0686° E",28.432,77.0686
682,flat,m3m skycity,sector 65,1.8,13699.0,2.0,2.0,3,13.0,New Property,1455.56,0.0,0.0,0.0,0.0,0.0,0.0,73.0,"28.4030° N, 77.0690° E",28.403,77.069
683,flat,ardee city,sector 52,1.55,7381.0,4.0,4.0,3,1.0,Moderately Old,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4379° N, 77.0785° E",28.4379,77.0785
684,flat,ireo the corridors,sector 67a,1.5,11111.0,2.0,2.0,2,10.0,Relatively New,1500.0,0.0,0.0,1.0,0.0,0.0,1.0,38.0,"28.3960° N, 77.0372° E",28.396,77.0372
685,flat,raheja vedaanta,sector 108,1.5,5263.0,3.0,4.0,0,12.0,Relatively New,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.5134° N, 76.9830° E",28.5134,76.983
686,flat,zara aavaas,sector 104,0.22,7309.0,1.0,2.0,2,2.0,New Property,334.76,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"28.4788° N, 76.9960° E",28.4788,76.996
687,flat,godrej nature plus,sector 33,1.5,9677.0,3.0,3.0,3,6.0,Under Construction,1402.71,1.0,0.0,0.0,0.0,0.0,0.0,72.0,"28.4420° N, 77.0207° E",28.442,77.0207
688,flat,shri banke bihari society,sector 56,1.35,6750.0,3.0,3.0,3,5.0,Old Property,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,82.0,"28.4245° N, 77.0991° E",28.4245,77.0991
689,flat,pareena coban residences,sector 99,1.05,6774.0,2.0,2.0,3,2.0,Relatively New,1390.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.4640° N, 76.9614° E",28.464,76.9614
690,flat,tulip violet,sector 69,3.05,9664.0,4.0,5.0,3+,14.0,Relatively New,2856.11,0.0,1.0,0.0,0.0,1.0,0.0,49.0,"28.3966° N, 77.0341° E",28.3966,77.0341
691,flat,ireo skyon,sector 60,3.75,13393.0,4.0,4.0,3,12.0,Relatively New,2650.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,"28.4003° N, 77.0975° E",28.4003,77.0975
692,flat,palam vihar society,sector 2,3.35,7444.0,4.0,4.0,3+,2.0,New Property,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,"28.5095° N, 77.0320° E",28.5095,77.032
693,flat,emaar digihomes,sector 62,4.25,26562.0,3.0,3.0,3,8.0,Under Construction,1600.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,"28.4139° N, 77.0886° E",28.4139,77.0886
694,flat,maxworth city residences,sector 10,0.8,6400.0,2.0,3.0,2,9.0,New Property,1388.89,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"28.4537° N, 77.0009° E",28.4537,77.0009
695,flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325.0,4.0,4.0,3+,3.0,Relatively New,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,"28.4079° N, 76.9153° E",28.4079,76.9153
696,flat,tulip lemon,sector 69,0.6,11407.0,2.0,1.0,1,11.0,Relatively New,584.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3966° N, 77.0341° E",28.3966,77.0341
697,flat,unitech fresco,sector 50,1.82,9913.0,3.0,3.0,3+,14.0,Moderately Old,1830.0,0.0,0.0,0.0,0.0,1.0,1.0,174.0,"28.4178° N, 77.0628° E",28.4178,77.0628
698,flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13929.0,3.0,3.0,3,6.0,New Property,3231.57,0.0,0.0,0.0,1.0,0.0,1.0,174.0,"28.4750° N, 76.9715° E",28.475,76.9715
699,house,independent,sector 105,1.15,3285.0,3.0,2.0,1,1.0,Moderately Old,3888.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4952° N, 77.0114° E",28.4952,77.0114
700,flat,vatika city homes,sector 83,0.8,6061.0,2.0,2.0,2,8.0,Moderately Old,1194.57,0.0,0.0,1.0,0.0,0.0,0.0,22.0,"28.3986° N, 76.9647° E",28.3986,76.9647
701,house,dlf city plots phase 4,sector 28,9.54,29444.0,6.0,5.0,3+,3.0,New Property,3240.0,1.0,1.0,1.0,1.0,0.0,0.0,153.0,"28.4728° N, 77.0865° E",28.4728,77.0865
702,flat,kiran residency,sector 56,1.5,6649.0,3.0,5.0,3+,4.0,Moderately Old,2250.0,1.0,0.0,0.0,1.0,0.0,1.0,134.0,"28.4245° N, 77.0991° E",28.4245,77.0991
703,flat,ss the leaf,sector 85,1.58,7715.0,3.0,4.0,3,8.0,Relatively New,4454.74,0.0,1.0,0.0,0.0,0.0,0.0,159.0,"28.4042° N, 76.9513° E",28.4042,76.9513
704,flat,orris aster court premier,sector 85,1.25,5896.0,3.0,4.0,2,6.0,Relatively New,1616.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,"28.4042° N, 76.9513° E",28.4042,76.9513
705,flat,signature global city 92,sector 92,0.78,11143.0,2.0,2.0,3,2.0,Under Construction,1691.8,0.0,0.0,0.0,0.0,1.0,0.0,24.0,"28.4079° N, 76.9153° E",28.4079,76.9153
706,flat,sare crescent parc,sector 92,0.65,4597.0,3.0,3.0,3,3.0,Moderately Old,1571.11,0.0,0.0,0.0,0.0,0.0,0.0,44.0,"28.4079° N, 76.9153° E",28.4079,76.9153
707,flat,experion windchants,sector 112,5.31,11205.0,4.0,6.0,3+,15.0,Relatively New,3573.33,0.0,1.0,0.0,1.0,0.0,0.0,72.0,"28.5189° N, 77.0183° E",28.5189,77.0183
708,flat,tata primanti,sector 72,4.1,14099.0,4.0,5.0,3+,39.0,New Property,2628.96,0.0,1.0,0.0,0.0,1.0,0.0,103.0,"28.4225° N, 77.0211° E",28.4225,77.0211
709,flat,shapoorji pallonji joyville gurugram,sector 102,1.26,10370.0,2.0,2.0,3,7.0,Relatively New,1099.55,0.0,0.0,0.0,0.0,0.0,1.0,49.0,"28.4750° N, 76.9715° E",28.475,76.9715
710,flat,paras quartier,gwal pahari,5.9,11028.0,4.0,4.0,3+,0.0,Moderately Old,5350.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,"28.4484° N, 77.0210° E",28.4484,77.021
711,flat,ansal sushant lok ci,sector 43,2.0,15152.0,3.0,3.0,2,1.0,Old Property,1466.67,0.0,1.0,0.0,0.0,0.0,2.0,15.0,"28.4629° N, 77.0772° E",28.4629,77.0772
712,flat,dlf the skycourt,sector 86,1.6,8294.0,3.0,3.0,3+,9.0,Relatively New,1548.0,0.0,0.0,0.0,0.0,1.0,1.0,167.0,"28.3986° N, 76.9384° E",28.3986,76.9384
713,house,independent,sector 49,4.5,15625.0,8.0,8.0,3,3.0,Moderately Old,2880.0,1.0,1.0,1.0,1.0,0.0,2.0,151.0,"28.4121° N, 77.0480° E",28.4121,77.048
714,flat,imperia aashiyara,sector 37,0.4,5882.0,2.0,2.0,3,3.0,Under Construction,755.56,0.0,0.0,0.0,0.0,0.0,0.0,126.0,"28.4375° N, 76.9999° E",28.4375,76.9999
715,house,independent,sector 36,0.66,7166.0,2.0,2.0,3,4.0,New Property,823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
716,flat,conscient elevate,sector 59,3.9,16993.0,3.0,1.0,0,0.0,Under Construction,2295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4051° N, 77.1097° E",28.4051,77.1097
717,flat,pivotal devaan,sector 84,0.35,7277.0,2.0,2.0,1,10.0,Relatively New,1062.05,0.0,0.0,1.0,0.0,0.0,0.0,103.0,"28.3979° N, 76.9736° E",28.3979,76.9736
718,flat,the lions cghs,sector 56,1.99,11056.0,4.0,4.0,3+,4.0,Old Property,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,105.0,"28.4245° N, 77.0991° E",28.4245,77.0991
719,flat,supertech araville,sector 79,0.71,6063.0,2.0,2.0,3+,17.0,New Property,2560.83,0.0,0.0,0.0,0.0,1.0,0.0,53.0,"28.3624° N, 76.9787° E",28.3624,76.9787
720,flat,godrej summit,sector 104,0.85,5878.0,2.0,2.0,3+,10.0,Relatively New,1269.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,"28.4788° N, 76.9960° E",28.4788,76.996
721,house,independent,sector 7,6.5,15046.0,3.0,2.0,3+,2.0,Old Property,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"28.4644° N, 77.0143° E",28.4644,77.0143
722,flat,aipl joy square,sector 63a,0.7,10101.0,1.0,1.0,0,7.0,Under Construction,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3923° N, 77.0888° E",28.3923,77.0888
723,house,ss hibiscus,sector 50,12.25,20940.0,5.0,7.0,3+,1.0,Relatively New,5850.0,1.0,1.0,0.0,1.0,1.0,1.0,160.0,"28.4178° N, 77.0628° E",28.4178,77.0628
724,flat,m3m sky lofts,sector 71,1.0,11494.0,1.0,1.0,1,9.0,Moderately Old,869.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,"28.4104° N, 77.0281° E",28.4104,77.0281
725,flat,m3m urbana,sector 67,0.95,10894.0,1.0,1.0,1,17.0,Relatively New,826.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.3859° N, 77.0608° E",28.3859,77.0608
726,house,independent,sector 15,1.07,11889.0,2.0,2.0,1,1.0,Old Property,900.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,"28.4621° N, 77.0464° E",28.4621,77.0464
727,flat,pyramid urban homes 2,sector 86,0.5,9615.0,2.0,2.0,1,10.0,Relatively New,577.78,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"28.3986° N, 76.9384° E",28.3986,76.9384
728,flat,dlf the crest,sector 54,11.0,35484.0,4.0,5.0,3+,7.0,Relatively New,3444.44,1.0,1.0,0.0,1.0,0.0,0.0,49.0,"28.4348° N, 77.1089° E",28.4348,77.1089
729,flat,adani brahma samsara vilasa,sector 63,3.0,16667.0,3.0,3.0,3,3.0,New Property,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,"28.3971° N, 77.0867° E",28.3971,77.0867
730,flat,shree vardhman victoria,sector 70,1.55,7949.0,3.0,5.0,3,8.0,Relatively New,3054.71,0.0,1.0,0.0,0.0,0.0,0.0,174.0,"28.3968° N, 77.0233° E",28.3968,77.0233
731,flat,ats triumph,sector 104,1.75,7642.0,3.0,4.0,3+,11.0,Relatively New,2072.4,0.0,1.0,0.0,0.0,0.0,0.0,110.0,"28.4788° N, 76.9960° E",28.4788,76.996
732,house,independent,sector 10,4.25,17955.0,4.0,3.0,2,1.0,Moderately Old,2367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4537° N, 77.0009° E",28.4537,77.0009
733,flat,pooja apartment,sector 5,0.25,3571.0,2.0,2.0,2,2.0,Relatively New,777.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4794° N, 77.0176° E",28.4794,77.0176
734,flat,godrej aria,sector 79,1.95,8519.0,3.0,4.0,3+,10.0,New Property,3317.05,0.0,1.0,0.0,0.0,0.0,0.0,32.0,"28.3624° N, 76.9787° E",28.3624,76.9787
735,flat,parsvnath green ville,sector 48,3.3,9985.0,5.0,5.0,3+,4.0,Old Property,3305.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0,"28.4177° N, 77.0359° E",28.4177,77.0359
736,flat,mittal cosmos executive apartments,sector 2,0.75,6550.0,2.0,2.0,2,15.0,Old Property,1100.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,"28.5095° N, 77.0320° E",28.5095,77.032
737,flat,ramprastha the edge towers,sector 37d,1.1,5528.0,3.0,3.0,3,9.0,Relatively New,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,"28.4478° N, 76.9703° E",28.4478,76.9703
738,flat,shree vardhman victoria,sector 70,1.6,8205.0,3.0,5.0,3,6.0,Relatively New,3054.71,0.0,1.0,0.0,0.0,0.0,0.0,108.0,"28.3968° N, 77.0233° E",28.3968,77.0233
739,house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,35000.0,7.0,9.0,3+,3.0,Moderately Old,9000.0,1.0,1.0,1.0,1.0,0.0,2.0,74.0,"28.4757° N, 77.1032° E",28.4757,77.1032
740,flat,m3m woodshire,sector 107,0.9,5867.0,2.0,2.0,3,8.0,Relatively New,2561.57,1.0,0.0,0.0,0.0,0.0,1.0,74.0,"28.5052° N, 76.9729° E",28.5052,76.9729
741,flat,bptp terra,sector 37d,1.78,8124.0,4.0,3.0,3,10.0,Relatively New,1982.81,0.0,1.0,0.0,0.0,0.0,0.0,127.0,"28.4478° N, 76.9703° E",28.4478,76.9703
742,flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3.0,3.0,3,1.0,Relatively New,1531.22,0.0,0.0,0.0,0.0,0.0,0.0,141.0,"28.4750° N, 76.9715° E",28.475,76.9715
743,flat,m3m merlin,sector 67,3.39,14377.0,3.0,4.0,3,14.0,Relatively New,2100.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,"28.3859° N, 77.0608° E",28.3859,77.0608
744,flat,adani aangan galleria,sector 89,0.42,4941.0,2.0,2.0,2,3.0,Relatively New,769.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4253° N, 76.9439° E",28.4253,76.9439
