,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
217,house,independent,sector 57,3.15,20349.0,5.0,4.0,3+,2.0,Moderately Old,1548.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,"28.4232° N, 77.0752° E",28.4232,77.0752
218,flat,chd avenue,sector 71,0.98,6049.0,3.0,3.0,3,0.0,Moderately Old,1466.06,1.0,0.0,0.0,0.0,0.0,0.0,65.0,"28.4104° N, 77.0281° E",28.4104,77.0281
219,flat,shapoorji pallonji joyville gurugram,sector 102,1.75,15514.0,3.0,3.0,3+,1.0,Relatively New,2929.35,0.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.4750° N, 76.9715° E",28.475,76.9715
220,flat,m3m golfestate,sector 65,5.0,16667.0,3.0,3.0,3,2.0,Relatively New,3245.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,"28.4030° N, 77.0690° E",28.403,77.069
221,flat,emaar mgf emerald floors premier,sector 65,2.55,15455.0,3.0,3.0,3,3.0,Relatively New,2937.66,1.0,1.0,0.0,0.0,0.0,0.0,21.0,"28.4030° N, 77.0690° E",28.403,77.069
222,flat,godrej nature plus,sector 33,1.65,8267.0,3.0,3.0,3,2.0,Under Construction,2217.78,0.0,1.0,0.0,0.0,0.0,0.0,37.0,"28.4420° N, 77.0207° E",28.442,77.0207
223,flat,paras dews,sector 106,2.1,8917.0,4.0,6.0,3+,6.0,Relatively New,2131.22,0.0,1.0,0.0,0.0,1.0,0.0,60.0,"28.5007° N, 77.0003° E",28.5007,77.0003
224,flat,jammu and kashmir bank employees cghs,sector 9,0.95,6129.0,3.0,3.0,2,5.0,Moderately Old,1402.71,0.0,0.0,0.0,0.0,1.0,0.0,30.0,"28.4603° N, 77.0000° E",28.4603,77.0
225,flat,ats kocoon,sector 109,2.2,10501.0,3.0,4.0,3,13.0,Relatively New,1860.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0,"28.5073° N, 77.0089° E",28.5073,77.0089
226,flat,vipul world,sector 48,1.38,9485.0,3.0,3.0,1,2.0,Relatively New,1611.11,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"28.4177° N, 77.0359° E",28.4177,77.0359
227,house,nul,sector 25,15.0,23438.0,5.0,5.0,3,2.0,Moderately Old,6400.0,1.0,1.0,0.0,1.0,0.0,1.0,112.0,"28.4844° N, 77.0860° E",28.4844,77.086
228,flat,uphaar residency 2,sector 105,0.42,5600.0,3.0,2.0,1,0.0,Moderately Old,833.33,0.0,0.0,0.0,0.0,1.0,0.0,7.0,"28.4952° N, 77.0114° E",28.4952,77.0114
229,flat,smart world orchard,sector 61,2.55,15644.0,3.0,3.0,2,4.0,New Property,1630.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,"28.4050° N, 77.0963° E",28.405,77.0963
230,flat,ats tourmaline,sector 109,2.3,8897.0,3.0,4.0,3+,10.0,New Property,2339.37,0.0,1.0,0.0,0.0,1.0,0.0,74.0,"28.5073° N, 77.0089° E",28.5073,77.0089
231,flat,emaar mgf emerald floors,sector 65,3.2,10159.0,4.0,3.0,2,1.0,Relatively New,3150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"28.4030° N, 77.0690° E",28.403,77.069
232,house,uppal southend,sector 49,3.75,25562.0,2.0,6.0,3,3.0,Moderately Old,1467.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,"28.4121° N, 77.0480° E",28.4121,77.048
233,flat,smartworld 1dxp,sector 113,2.75,10589.0,4.0,4.0,3+,20.0,Under Construction,2885.56,1.0,1.0,0.0,1.0,0.0,2.0,57.0,"28.5287° N, 77.0233° E",28.5287,77.0233
234,flat,central park flower valley aqua front towers,sector 33,2.0,11179.0,3.0,3.0,3+,8.0,New Property,1619.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,"28.4420° N, 77.0207° E",28.442,77.0207
235,flat,dlf the primus,sector 82a,1.85,10176.0,3.0,3.0,3,15.0,Moderately Old,3354.14,0.0,0.0,0.0,0.0,1.0,0.0,38.0,"28.3858° N, 76.9686° E",28.3858,76.9686
236,flat,dlf regal gardens,sector 90,1.23,7053.0,3.0,3.0,2,19.0,Relatively New,1578.28,0.0,0.0,0.0,0.0,1.0,0.0,6.0,"28.4085° N, 76.9369° E",28.4085,76.9369
237,flat,m3m heights,sector 65,2.65,18493.0,2.0,2.0,3,4.0,New Property,1433.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,"28.4030° N, 77.0690° E",28.403,77.069
238,house,independent,sector 9,1.65,18333.0,2.0,3.0,0,3.0,Old Property,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4603° N, 77.0000° E",28.4603,77.0
239,flat,dlf trinity towers,sector 43,3.8,15510.0,3.0,3.0,3+,1.0,Moderately Old,2450.0,0.0,1.0,0.0,1.0,0.0,1.0,68.0,"28.4629° N, 77.0772° E",28.4629,77.0772
240,flat,emaar mgf emerald floors premier,sector 65,2.85,14430.0,4.0,4.0,3+,0.0,Relatively New,1975.0,1.0,1.0,0.0,0.0,0.0,1.0,151.0,"28.4030° N, 77.0690° E",28.403,77.069
241,flat,dlf the arbour,sector 63,7.8,19747.0,4.0,4.0,0,6.0,New Property,3950.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,"28.3971° N, 77.0867° E",28.3971,77.0867
242,flat,bestech park view residency,sector 2,1.5,7825.0,3.0,4.0,3+,10.0,Moderately Old,1737.56,0.0,1.0,0.0,0.0,0.0,0.0,93.0,"28.5095° N, 77.0320° E",28.5095,77.032
